fold,test_start,test_end,trades,oos_exp_r,is_exp_r,oos_win_pct,oos_pf,oos_return_pct,oos_maxdd_pct
0,2015-12-29,2016-03-25,25,-0.0989,0.8366,32.0,0.833,-1.28,3.77
1,2016-03-25,2016-06-22,61,-0.0916,0.7197,32.79,0.842,-2.88,5.72
2,2016-06-22,2016-09-19,2,0.3264,0.339,50.0,1.681,0.32,0.47
3,2016-09-19,2016-12-15,0,0.0,0.0,0.0,0.0,0.0,0.0
4,2016-12-15,2017-03-14,51,0.1597,0.242,41.18,1.277,3.92,2.42
5,2017-03-14,2017-06-09,44,-0.0181,0.8805,34.09,0.965,-0.46,3.61
6,2017-06-09,2017-09-06,0,0.0,0.0,0.0,0.0,0.0,0.0
7,2017-09-06,2017-12-04,3,-0.068,1.1587,33.33,0.894,-0.1,0.91
8,2017-12-04,2018-03-01,29,0.1747,1.05,41.38,1.299,2.39,1.99
9,2018-03-01,2018-05-29,69,-0.0909,0.6639,31.88,0.851,-3.18,5.42
10,2018-05-29,2018-08-24,36,0.2641,0.7891,44.44,1.525,4.7,3.25
11,2018-08-24,2018-11-21,0,0.0,0.0,0.0,0.0,0.0,0.0
12,2018-11-21,2019-02-18,26,-0.0263,0.9174,34.62,0.95,-0.4,3.16
13,2019-02-18,2019-05-16,56,0.098,0.2062,39.29,1.165,2.59,3.46
14,2019-05-16,2019-08-13,0,0.0,0.0,0.0,0.0,0.0,0.0
15,2019-08-13,2019-11-08,29,0.2372,-0.2737,44.83,1.457,3.41,2.3
16,2019-11-08,2020-02-05,60,0.2667,0.2926,46.67,1.52,8.06,3.41
17,2020-02-05,2020-05-04,28,-0.0943,0.9145,32.14,0.843,-1.37,3.84
18,2020-05-04,2020-07-30,49,-0.0718,0.6369,32.65,0.876,-1.83,6.95
19,2020-07-30,2020-10-27,41,0.0277,0.9669,36.59,1.041,0.49,4.03
20,2020-10-27,2021-01-22,57,0.302,0.1616,47.37,1.62,8.79,3.14
21,2021-01-22,2021-04-21,44,0.4171,0.3879,52.27,1.965,9.39,2.7
